place	place_187	-34.2	142.2
place	place_188	-34.4	142.1
place	place_189	-37.8	147.8
place	place_190	-37.6	143.9
place	place_191	-38.2	144.3
place	place_192	-38.4	147.2
place	place_193	-38.3	147.2
place	place_194	-37.5	143.3
place	place_195	-38.7	145.9
place	place_196	-38.3	146.2
place	place_197	-38.5	143.0
place	place_198	-37.8	144.7
place	place_199	-36.4	146.3
place	place_200	-38.1	146.0
place	place_201	-37.2	144.9
place	place_202	-35.0	117.9
place	place_203	-31.7	116.4
place	place_204	-33.3	115.6
place	place_205	-33.9	122.3
place	place_206	-31.5	116.1
place	place_207	-31.6	116.1
place	place_208	-28.7	114.6
place	place_209	-28.8	114.6
place	place_210	-33.9	118.0
place	place_211	-34.0	116.2
place	place_212	-32.0	116.0
place	place_213	-30.9	117.1
place	place_214	-30.0	116.1
place	place_215	-34.7	117.5
place	place_216	-32.9	117.2
place	place_217	-32.0	116.1
place	place_218	-35.0	117.3
place	place_219	-31.2	116.1
place	place_220	-33.6	115.4
place	place_221	-30.9	116.7
place	place_222	-31.9	116.8
place	place_223	-34.5	137.4
place	place_224	-25.3	134.5
place	place_225	37.2	-8.2
place	place_226	37.7	-7.7
state	act	-35.473469	149.012375
state	nsw	-31.840233	145.612793
state	nt	-19.491411	132.550964
state	qld	-20.917574	142.702789
state	sa	-30.000233	136.209152
state	tas	-41.640079	146.315918
state	vic	-36.686043	143.580322
state	wa	-25.760321	122.805176
