Serotype	Acc	Country	State	Source Location	Species sampled	Isolate	Month	Year	Reference		Latitude	Longitude
BTV6		IDN	West Java	N/A	Cattle	RIVS-60		1990	This study	1990		
BTV6		IDN	West Java	N/A	N/A	RIVS-137		1991	This study	1991		
BTV9		IDN	West Java	N/A	N/A	RIVS-74		1991	This study	1991		
BTV1		AUS	NSW	Raleigh	Cattle	G085	04	1997	This study	04/1997	-30.44972	153.01276
BTV1		AUS	QLD	Rockhampton - Big House	Cattle	837	04	2001	This study	04/2001	-23.38032	150.50595
BTV1		AUS	QLD	Roma - Grasslands	Cattle	1121	06	2003	This study	06/2003	-26.56741	148.78751
BTV21		AUS	QLD	Seisia - Torres	Cattle	2012-31	03	2012	This study	03/2012	-10.84781	142.36779
BTV21		AUS	QLD	Seisia - Torres	Cattle	2012-33	04	2012	This study	04/2012	-10.84781	142.36779
BTV21		AUS	NSW	Singleton	Cattle	G092	05	2000	This study	05/2000	-32.56742	151.16603
BTV1		AUS	NSW	Taree	Cattle	E041	05	2003	This study	05/2003	-31.91099	152.45388
BTV1		AUS	NSW	Taree	Cattle	G095	05	2003	This study	05/2003	-31.91099	152.45388
BTV1		AUS	NSW	Taree	Cattle	E043	04	2005	This study	04/2005	-31.91099	152.45388
BTV23	JQ086271	AUS	NT	Tortilla Flats Research Farm	Cattle	DPP90		1982	Boyle et al. 2012	1982	-13.089	131.228
BTV1		AUS	QLD	Townsville	Cattle	973	01	2002	This study	01/2002	-19.26639	146.8057
BTV1		AUS	QLD	Townsville	Cattle	1857	06	2006	This study	06/2006	-19.26639	146.8057
BTV1		AUS	QLD	Townsville	Cattle	1923	05	2007	This study	05/2007	-19.26639	146.8057
BTV1		AUS	QLD	Townsville	Cattle	2011-3	04	2011	This study	04/2011	-19.26639	146.8057
BTV1		AUS	QLD	Townsville	Cattle	2011-11	05	2011	This study	05/2011	-19.26639	146.8057
BTV1		AUS	QLD	Townsville	Cattle	2012-29	03	2012	This study	03/2012	-19.26639	146.8057
BTV15		AUS	QLD	Townsville	Cattle	2012-26	03	2012	This study	03/2012	-19.26639	146.8057
BTV15		AUS	QLD	Townsville	Cattle	2012-38	04	2012	This study	04/2012	-19.26639	146.8057
BTV2		AUS	QLD	Townsville	Cattle	2010-90	06	2010	This study	06/2010	-19.26639	146.8057
BTV2		AUS	QLD	Townsville	Cattle	2010-21	07	2010	This study	07/2010	-19.26639	146.8057
BTV21		AUS	QLD	Townsville	Cattle	999	04	2002	This study	04/2002	-19.26639	146.8057
BTV21		AUS	QLD	Townsville	Cattle	V8184	05	2010	This study	05/2010	-19.26639	146.8057
BTV21		AUS	QLD	Townsville	Cattle	2012-44	04	2012	This study	04/2012	-19.26639	146.8057
BTV2		AUS	QLD	Valley View - Cooktown	Cattle	2010-26	08	2010	This study	08/2010	-15.47028	145.24986
BTV21	JQ086261	AUS	NT	Victoria River Research Station	Cattle	DPP86		1979	Boyle et al. 2012	1979	-16.11667	130.95779
BTV1		AUS	NSW	Wingham	Cattle	E053	03	1997	This study	03/1997	-31.86676	152.36989
BTV21		AUS	NSW	Wingham	Cattle	G089	05	1998	This study	05/1998	-31.86676	152.36989
BTV1		AUS	NSW	Wollongbar	Cattle	G096	04	2005	This study	04/2005	-28.82506	153.41478
BTV21		AUS	NSW	Wollongbar	Cattle	E090	05	1981	This study	05/1981	-28.82506	153.41478
BTV21		AUS	NSW	Wollongbar	Cattle	G090	05	1998	This study	05/1998	-28.82506	153.41478
BTV21		AUS	NSW	Wollongbar	Cattle	G091	05	1998	This study	05/1998	-28.82506	153.41478
BTV1		AUS	QLD	York Down - Weipa	Cattle	2012-12	02	2012	This study	02/2012	-12.62346	141.87883
BTV7	JQ086291	AUS	NT	Place_1	Cattle	V6963	XX	2007	Boyle		-12.39	131.20
BTV2	JQ086291	AUS	NT	Place_1	Cattle	V7291	XX	2008	Boyle		-12.39	131.20
